team,champion,team_champion_pick_rows,wins_with_champion,op_pick_rows,patches,example_matches,win_rate_with_champion
LODIS (Polish Team),Seraphine,2,1,0,26.09,"Rift Legends/2026 Season/Spring Split_Week 5_2_1, Rift Legends/2026 Season/Spring Split_Week 5_6_2",0.5
LODIS (Polish Team),Skarner,2,1,0,26.09,"Rift Legends/2026 Season/Spring Split_Week 5_2_1, Rift Legends/2026 Season/Spring Split_Week 5_6_2",0.5
LODIS (Polish Team),Swain,2,0,0,26.09,"Rift Legends/2026 Season/Spring Split_Week 5_2_3, Rift Legends/2026 Season/Spring Split_Week 5_6_2",0.0
LOUD,Aatrox,2,1,0,"26.09, 26.10","CBLOL/2026 Season/Split 1 Playoffs_Round 1_1_1, CBLOL/2026 Season/Split 1 Playoffs_Round 2_3_2",0.5
LOUD,Ahri,2,2,0,"26.09, 26.10","CBLOL/2026 Season/Split 1 Playoffs_Round 1_1_2, CBLOL/2026 Season/Split 1 Playoffs_Round 2_3_4",1.0
LOUD,Akali,2,1,0,"26.10, 26.11","CBLOL/2026 Season/Split 1 Playoffs_Round 2_3_1, Esports World Cup 2026/Online Qualifiers/South America_Round 3_1_1",0.5
LOUD,Annie,2,0,0,"26.10, 26.11","CBLOL/2026 Season/Split 1 Playoffs_Round 2_2_2, Esports World Cup 2026/Online Qualifiers/South America_Round 3_1_2",0.0
LOUD,Ashe,2,1,0,26.10,"CBLOL/2026 Season/Split 1 Playoffs_Round 2_2_1, CBLOL/2026 Season/Split 1 Playoffs_Round 2_3_3",0.5
LOUD,Corki,2,1,0,26.10,"CBLOL/2026 Season/Split 1 Playoffs_Round 2_2_3, CBLOL/2026 Season/Split 1 Playoffs_Round 2_3_4",0.5
LOUD,Ezreal,2,2,0,"26.09, 26.11","CBLOL/2026 Season/Split 1_Week 6_4_1, Esports World Cup 2026/Online Qualifiers/South America_Round 2_3_1",1.0
LOUD,Gnar,2,0,0,"26.09, 26.10","CBLOL/2026 Season/Split 1 Playoffs_Round 1_1_3, CBLOL/2026 Season/Split 1 Playoffs_Round 2_2_3",0.0
LOUD,Lucian,2,1,0,26.11,"Esports World Cup 2026/Online Qualifiers/South America_Round 2_3_2, Esports World Cup 2026/Online Qualifiers/South America_Round 3_1_3",0.5
LOUD,Naafiri,2,1,0,"26.09, 26.11","CBLOL/2026 Season/Split 1 Playoffs_Round 1_1_4, Esports World Cup 2026/Online Qualifiers/South America_Round 1_1_3",0.5
LOUD,Nami,2,1,0,26.10,"CBLOL/2026 Season/Split 1 Playoffs_Round 2_2_3, CBLOL/2026 Season/Split 1 Playoffs_Round 2_3_4",0.5
LOUD,Orianna,2,1,0,"26.09, 26.10","CBLOL/2026 Season/Split 1_Week 6_4_1, CBLOL/2026 Season/Split 1 Playoffs_Round 2_3_2",0.5
LOUD,Ornn,2,2,0,26.11,"Esports World Cup 2026/Online Qualifiers/South America_Round 2_3_1, Esports World Cup 2026/Online Qualifiers/South America_Round 3_1_1",1.0
LOUD,Rek'Sai,2,1,0,"26.09, 26.11","CBLOL/2026 Season/Split 1 Playoffs_Round 1_1_4, Esports World Cup 2026/Online Qualifiers/South America_Round 1_1_1",0.5
LOUD,Renekton,2,2,0,"26.09, 26.10","CBLOL/2026 Season/Split 1_Week 6_4_2, CBLOL/2026 Season/Split 1 Playoffs_Round 2_3_4",1.0
LOUD,Rumble,2,0,0,26.10,"CBLOL/2026 Season/Split 1 Playoffs_Round 2_2_1, CBLOL/2026 Season/Split 1 Playoffs_Round 2_3_2",0.0
LOUD,Sejuani,2,1,0,"26.10, 26.11","CBLOL/2026 Season/Split 1 Playoffs_Round 2_3_3, Esports World Cup 2026/Online Qualifiers/South America_Round 3_1_3",0.5
LOUD,Seraphine,2,1,0,26.10,"CBLOL/2026 Season/Split 1 Playoffs_Round 2_2_1, CBLOL/2026 Season/Split 1 Playoffs_Round 2_3_3",0.5
LOUD,Trundle,2,1,0,"26.09, 26.11","CBLOL/2026 Season/Split 1 Playoffs_Round 1_1_3, Esports World Cup 2026/Online Qualifiers/South America_Round 2_3_2",0.5
LOUD,Twisted Fate,2,1,0,26.11,"Esports World Cup 2026/Online Qualifiers/South America_Round 2_3_2, Esports World Cup 2026/Online Qualifiers/South America_Round 3_1_3",0.5
LUA Gaming,Ahri,2,1,0,"26.09, 26.10","LES/2026 Season/Spring Split_Week 5_1_2, LES/2026 Season/Spring Split_Week 7_1_2",0.5
LUA Gaming,Kalista,2,2,0,"26.09, 26.10","LES/2026 Season/Spring Split_Week 5_1_3, LES/2026 Season/Spring Split_Week 7_1_2",1.0
LUA Gaming,Lucian,2,1,0,"26.09, 26.10","LES/2026 Season/Spring Split_Week 6_3_2, LES/2026 Season/Spring Split_Week 7_1_1",0.5
LUA Gaming,Milio,2,1,0,"26.09, 26.10","LES/2026 Season/Spring Split_Week 6_3_2, LES/2026 Season/Spring Split_Week 7_1_1",0.5
LUA Gaming,Pantheon,2,2,0,"26.09, 26.10","LES/2026 Season/Spring Split_Week 5_1_1, LES/2026 Season/Spring Split_Week 7_1_1",1.0
LUA Gaming,Rumble,2,2,0,"26.09, 26.10","LES/2026 Season/Spring Split_Week 5_1_1, LES/2026 Season/Spring Split_Week 7_1_1",1.0
LUA Gaming,Syndra,2,1,0,"26.09, 26.10","LES/2026 Season/Spring Split_Week 6_3_1, LES/2026 Season/Spring Split_Week 7_1_1",0.5
LUA Gaming,Varus,2,1,0,"26.09, 26.10","LES/2026 Season/Spring Split_Week 5_1_2, LES/2026 Season/Spring Split_Week 7_1_2",0.5
LUA Gaming,Viktor,2,1,0,26.09,"LES/2026 Season/Spring Split_Week 5_1_3, LES/2026 Season/Spring Split_Week 6_3_2",0.5
LUA Gaming,Xin Zhao,2,1,0,"26.09, 26.10","LES/2026 Season/Spring Split_Week 6_3_1, LES/2026 Season/Spring Split_Week 7_1_2",0.5
LYON (2024 American Team),Akali,2,2,0,"26.09, 26.11","LCS/2026 Season/Spring Season_Week 5_3_2, LCS/2026 Season/Spring Playoffs_Finals_1_1",1.0
LYON (2024 American Team),Caitlyn,2,2,0,26.10,"LCS/2026 Season/Spring Season_Week 7_4_2, LCS/2026 Season/Spring Playoffs_Round 1_2_3",1.0
LYON (2024 American Team),Ezreal,2,2,0,"26.09, 26.11","LCS/2026 Season/Spring Season_Week 6_4_1, LCS/2026 Season/Spring Playoffs_Finals_1_1",1.0
LYON (2024 American Team),Gnar,2,1,0,"26.09, 26.10","LCS/2026 Season/Spring Season_Week 5_3_2, LCS/2026 Season/Spring Playoffs_Round 1_2_4",0.5
LYON (2024 American Team),Jayce,2,2,0,"26.09, 26.11","LCS/2026 Season/Spring Season_Week 6_4_1, LCS/2026 Season/Spring Playoffs_Round 2_2_3",1.0
LYON (2024 American Team),K'Sante,2,2,0,"26.09, 26.11","LCS/2026 Season/Spring Season_Week 5_3_1, LCS/2026 Season/Spring Playoffs_Finals_1_2",1.0
LYON (2024 American Team),Karma,2,1,0,"26.09, 26.10","LCS/2026 Season/Spring Season_Week 6_4_1, LCS/2026 Season/Spring Playoffs_Round 1_2_1",0.5
LYON (2024 American Team),Nami,2,1,0,"26.09, 26.10","LCS/2026 Season/Spring Season_Week 6_4_3, LCS/2026 Season/Spring Playoffs_Round 1_2_4",0.5
LYON (2024 American Team),Sion,2,0,0,26.10,"LCS/2026 Season/Spring Season_Week 7_4_1, LCS/2026 Season/Spring Playoffs_Round 1_2_1",0.0
LYON (2024 American Team),Varus,2,2,0,"26.09, 26.11","LCS/2026 Season/Spring Season_Week 5_3_1, LCS/2026 Season/Spring Playoffs_Round 2_2_2",1.0
LYON (2024 American Team),Vi,2,0,0,"26.09, 26.10","LCS/2026 Season/Spring Season_Week 6_4_2, LCS/2026 Season/Spring Season_Week 7_4_3",0.0
LYON (2024 American Team),Yone,2,2,0,26.10,"LCS/2026 Season/Spring Season_Week 7_4_2, LCS/2026 Season/Spring Playoffs_Round 1_2_2",1.0
LYON (2024 American Team),Yunara,2,1,0,"26.10, 26.11","LCS/2026 Season/Spring Season_Week 7_4_3, LCS/2026 Season/Spring Playoffs_Finals_1_3",0.5
Lausanne-Sport Esports,Kalista,2,1,0,"26.09, 26.10","Nexus League/2026 Season/Spring Split_Week 6_1_1, Nexus League/2026 Season/Spring Split_Week 7_2_1",0.5
Lausanne-Sport Esports,Karma,2,0,0,26.09,"Nexus League/2026 Season/Spring Split_Week 5_3_1, Nexus League/2026 Season/Spring Split_Week 6_5_1",0.0
Lausanne-Sport Esports,Rek'Sai,2,1,0,26.09,"Nexus League/2026 Season/Spring Split_Week 5_3_1, Nexus League/2026 Season/Spring Split_Week 6_1_1",0.5
Lausanne-Sport Esports,Rell,2,0,0,"26.09, 26.10","Nexus League/2026 Season/Spring Split_Week 5_8_1, Nexus League/2026 Season/Spring Split_Week 7_2_1",0.0
Lausanne-Sport Esports,Vi,2,0,0,"26.09, 26.10","Nexus League/2026 Season/Spring Split_Week 5_8_1, Nexus League/2026 Season/Spring Split_Week 7_5_1",0.0
Lenovo Legion Honvéd,Annie,2,0,0,"26.09, 26.10","Esports Balkan League/2026 Season/Spring Playoffs_Round 2_1_2, Esports Balkan League/2026 Season/Spring Playoffs_Round 3_1_3",0.0
Lenovo Legion Honvéd,Aurora,2,1,0,26.09,"Esports Balkan League/2026 Season/Spring Playoffs_Round 1_2_3, Esports Balkan League/2026 Season/Spring Playoffs_Round 2_1_2",0.5
Lenovo Legion Honvéd,Hwei,2,1,0,"26.09, 26.10","Esports Balkan League/2026 Season/Spring Playoffs_Round 1_2_1, Esports Balkan League/2026 Season/Spring Playoffs_Round 3_1_1",0.5
Lenovo Legion Honvéd,Rell,2,1,0,"26.09, 26.10","Esports Balkan League/2026 Season/Spring Playoffs_Round 1_2_2, Esports Balkan League/2026 Season/Spring Playoffs_Round 3_1_2",0.5
Lenovo Legion Honvéd,Sivir,2,1,0,"26.09, 26.10","Esports Balkan League/2026 Season/Spring Playoffs_Round 1_2_3, Esports Balkan League/2026 Season/Spring Playoffs_Round 3_1_1",0.5
Lenovo Legion Honvéd,Zoe,2,2,0,"26.09, 26.10","Esports Balkan League/2026 Season/Spring Playoffs_Round 1_2_3, Esports Balkan League/2026 Season/Spring Playoffs_Round 2_4_2",1.0
Leviatan,Anivia,2,0,0,26.11,"Esports World Cup 2026/Online Qualifiers/South America_Round 1_2_2, Esports World Cup 2026/Online Qualifiers/South America_Round 1_4_1",0.0
Leviatan,Jayce,2,0,0,26.11,"Esports World Cup 2026/Online Qualifiers/South America_Round 1_2_2, Esports World Cup 2026/Online Qualifiers/South America_Round 1_4_2",0.0
Leviatan,K'Sante,2,0,0,"26.09, 26.11","CBLOL/2026 Season/Split 1_Week 6_1_1, Esports World Cup 2026/Online Qualifiers/South America_Round 1_4_1",0.0
Leviatan,Pantheon,2,0,0,26.11,"Esports World Cup 2026/Online Qualifiers/South America_Round 1_2_2, Esports World Cup 2026/Online Qualifiers/South America_Round 1_4_1",0.0
Lille Esport,Cassiopeia,2,1,0,26.10,"Nexus League/2026 Season/Spring Split_Week 7_2_1, Nexus League/2026 Season/Spring Playoffs_Round 1_2_1",0.5
Lille Esport,Nautilus,2,1,0,26.09,"Nexus League/2026 Season/Spring Split_Week 5_6_1, Nexus League/2026 Season/Spring Split_Week 6_2_1",0.5
Lille Esport,Rell,2,1,0,26.10,"Nexus League/2026 Season/Spring Split_Week 7_7_1, Nexus League/2026 Season/Spring Playoffs_Round 1_2_1",0.5
Lille Esport,Seraphine,2,2,0,"26.09, 26.10","Nexus League/2026 Season/Spring Split_Week 5_4_1, Nexus League/2026 Season/Spring Split_Week 7_2_1",1.0
Lille Esport,Varus,2,1,0,26.09,"Nexus League/2026 Season/Spring Split_Week 5_6_1, Nexus League/2026 Season/Spring Split_Week 6_2_1",0.5
Lille Esport,Viktor,2,2,0,"26.09, 26.10","Nexus League/2026 Season/Spring Split_Week 5_6_1, Nexus League/2026 Season/Spring Split_Week 7_7_1",1.0
Lunaris Esports (MENA Team),Jax,2,0,0,26.09,"Arabian League 2nd Division/2026 Season/Spring Split_Week 4_2_1, Arabian League 2nd Division/2026 Season/Spring Split_Week 4_4_1",0.0
Lunaris Esports (MENA Team),LeBlanc,2,0,0,26.09,"Arabian League 2nd Division/2026 Season/Spring Split_Week 4_2_1, Arabian League 2nd Division/2026 Season/Spring Split_Week 5_2_2",0.0
Lunaris Esports (MENA Team),Orianna,2,0,0,26.09,"Arabian League 2nd Division/2026 Season/Spring Split_Week 4_2_2, Arabian League 2nd Division/2026 Season/Spring Split_Week 4_4_2",0.0
Lunaris Esports (MENA Team),Rumble,2,0,0,26.09,"Arabian League 2nd Division/2026 Season/Spring Split_Week 4_4_2, Arabian League 2nd Division/2026 Season/Spring Split_Week 5_2_2",0.0
Lunaris Esports (MENA Team),Thresh,2,0,0,26.09,"Arabian League 2nd Division/2026 Season/Spring Split_Week 4_2_2, Arabian League 2nd Division/2026 Season/Spring Split_Week 4_4_2",0.0
Lunaris Esports (MENA Team),Wukong,2,0,0,26.09,"Arabian League 2nd Division/2026 Season/Spring Split_Week 4_4_1, Arabian League 2nd Division/2026 Season/Spring Split_Week 5_2_1",0.0
Lund Esports Organization,Aurora,2,1,0,26.10,"NLC/2026 Season/Spring Split_Day 2_7_1, NLC/2026 Season/Spring Split_Day 2_11_1",0.5
Lund Esports Organization,Caitlyn,2,0,0,26.10,"NLC/2026 Season/Spring Split_Day 1_15_1, NLC/2026 Season/Spring Split_Day 2_1_1",0.0
Lund Esports Organization,K'Sante,2,0,0,26.10,"NLC/2026 Season/Spring Split_Day 1_15_1, NLC/2026 Season/Spring Split_Day 2_1_1",0.0
Lund Esports Organization,Nautilus,2,1,0,26.10,"NLC/2026 Season/Spring Split_Day 1_10_1, NLC/2026 Season/Spring Split_Day 2_1_1",0.5
Lund Esports Organization,Sion,2,1,0,26.10,"NLC/2026 Season/Spring Split_Day 1_1_1, NLC/2026 Season/Spring Split_Day 1_10_1",0.5
Lund Esports Organization,Wukong,2,0,0,26.10,"NLC/2026 Season/Spring Split_Day 1_6_1, NLC/2026 Season/Spring Split_Day 2_1_1",0.0
Lund Esports Organization,Xin Zhao,2,0,0,26.10,"NLC/2026 Season/Spring Split_Day 1_1_1, NLC/2026 Season/Spring Split_Day 2_11_1",0.0
Lundqvist Lightside,Azir,2,1,0,26.10,"NLC/2026 Season/Spring Split_Day 1_14_1, NLC/2026 Season/Spring Split_Day 2_12_1",0.5
Lundqvist Lightside,Jayce,2,2,0,26.10,"NLC/2026 Season/Spring Split_Day 1_12_1, NLC/2026 Season/Spring Split_Day 1_14_1",1.0
Lundqvist Lightside,Nautilus,2,0,0,26.10,"NLC/2026 Season/Spring Split_Day 1_5_1, NLC/2026 Season/Spring Split_Day 2_3_1",0.0
Lundqvist Lightside,Xin Zhao,2,0,0,26.10,"NLC/2026 Season/Spring Split_Day 1_5_1, NLC/2026 Season/Spring Split_Day 2_12_1",0.0
Lundqvist Lightside,Yunara,2,0,0,26.10,"NLC/2026 Season/Spring Split_Day 1_5_1, NLC/2026 Season/Spring Split_Day 2_7_1",0.0
LØS,Aatrox,2,2,0,"26.10, 26.11","CBLOL/2026 Season/Split 1 Playoffs_Round 1_3_2, CBLOL/2026 Season/Split 1 Playoffs_Round 4_2_1",1.0
LØS,Camille,2,1,0,"26.09, 26.10","CBLOL/2026 Season/Split 1_Week 6_3_3, CBLOL/2026 Season/Split 1 Playoffs_Round 2_3_3",0.5
LØS,Gwen,2,2,0,26.11,"Esports World Cup 2026/Online Qualifiers/South America_Round 3_1_2, Esports World Cup 2026/Online Qualifiers/South America_Round 4_2_2",1.0
LØS,Karma,2,2,0,26.11,"Esports World Cup 2026/Online Qualifiers/South America_Round 2_4_2, Esports World Cup 2026/Online Qualifiers/South America_Finals_1_1",1.0
LØS,Nami,2,2,0,26.09,"CBLOL/2026 Season/Split 1_Week 6_3_3, CBLOL/2026 Season/Split 1 Playoffs_Round 1_2_2",1.0
LØS,Rell,2,1,0,"26.09, 26.11","CBLOL/2026 Season/Split 1 Playoffs_Round 1_2_4, CBLOL/2026 Season/Split 1 Playoffs_Finals_1_3",0.5
LØS,Sejuani,2,2,0,26.11,"CBLOL/2026 Season/Split 1 Playoffs_Round 3_1_5, Esports World Cup 2026/Online Qualifiers/South America_Finals_1_3",1.0
LØS,Sylas,2,2,0,"26.10, 26.11","CBLOL/2026 Season/Split 1 Playoffs_Round 1_3_3, Esports World Cup 2026/Online Qualifiers/South America_Round 2_4_1",1.0
LØS,Wukong,2,2,0,26.11,"Esports World Cup 2026/Online Qualifiers/South America_Round 3_1_3, Esports World Cup 2026/Online Qualifiers/South America_Round 4_2_2",1.0
LØS,Yone,2,1,0,26.11,"CBLOL/2026 Season/Split 1 Playoffs_Round 3_1_5, CBLOL/2026 Season/Split 1 Playoffs_Finals_1_1",0.5
MVK Esports,Akali,2,0,0,26.10,"LCP/2026 Season/Split 2_Week 7_2_2, LCP/2026 Season/Split 2 Playoffs_Round 2_1_2",0.0
MVK Esports,Azir,2,0,0,26.10,"LCP/2026 Season/Split 2 Playoffs_Round 1_1_3, LCP/2026 Season/Split 2 Playoffs_Round 2_1_1",0.0
MVK Esports,Caitlyn,2,1,0,26.10,"LCP/2026 Season/Split 2 Playoffs_Round 1_1_2, LCP/2026 Season/Split 2 Playoffs_Round 2_3_2",0.5
MVK Esports,Corki,2,0,0,"26.09, 26.10","Esports World Cup 2026/Online Qualifiers/Asia-Pacific_Round 2_4_1, LCP/2026 Season/Split 2 Playoffs_Round 1_1_3",0.0
MVK Esports,Jarvan IV,2,1,0,26.09,"LCP/2026 Season/Split 2_Week 5_1_1, Esports World Cup 2026/Online Qualifiers/Asia-Pacific_Round 2_4_2",0.5
MVK Esports,Jayce,2,1,0,26.10,"LCP/2026 Season/Split 2_Week 7_2_3, LCP/2026 Season/Split 2 Playoffs_Round 2_1_1",0.5
MVK Esports,Lee Sin,2,1,0,26.10,"LCP/2026 Season/Split 2 Playoffs_Round 1_1_2, LCP/2026 Season/Split 2 Playoffs_Round 2_3_1",0.5
MVK Esports,Lissandra,2,1,0,26.10,"LCP/2026 Season/Split 2 Playoffs_Round 1_1_4, LCP/2026 Season/Split 2 Playoffs_Round 2_3_2",0.5
MVK Esports,Lucian,2,0,0,26.09,"Esports World Cup 2026/Online Qualifiers/Asia-Pacific_Round 1_4_2, LCP/2026 Season/Split 2_Week 6_2_2",0.0
MVK Esports,Maokai,2,1,0,26.10,"LCP/2026 Season/Split 2_Week 7_2_1, LCP/2026 Season/Split 2 Playoffs_Round 1_1_3",0.5
MVK Esports,Mel,2,1,0,26.10,"LCP/2026 Season/Split 2_Week 7_2_2, LCP/2026 Season/Split 2 Playoffs_Round 1_1_5",0.5
MVK Esports,Milio,2,0,0,26.09,"Esports World Cup 2026/Online Qualifiers/Asia-Pacific_Round 1_4_2, LCP/2026 Season/Split 2_Week 6_2_2",0.0
MVK Esports,Nami,2,0,0,26.10,"LCP/2026 Season/Split 2 Playoffs_Round 1_1_3, LCP/2026 Season/Split 2 Playoffs_Round 2_3_3",0.0
MVK Esports,Orianna,2,0,0,26.10,"LCP/2026 Season/Split 2 Playoffs_Round 1_1_1, LCP/2026 Season/Split 2 Playoffs_Round 2_3_1",0.0
MVK Esports,Pantheon,2,1,0,"26.09, 26.10","Esports World Cup 2026/Online Qualifiers/Asia-Pacific_Round 1_6_2, LCP/2026 Season/Split 2 Playoffs_Round 2_1_3",0.5
MVK Esports,Sivir,2,1,0,26.10,"LCP/2026 Season/Split 2_Week 7_2_1, LCP/2026 Season/Split 2 Playoffs_Round 2_1_3",0.5
MVK Esports,Trundle,2,1,0,26.09,"Esports World Cup 2026/Online Qualifiers/Asia-Pacific_Round 1_4_1, Esports World Cup 2026/Online Qualifiers/Asia-Pacific_Round 1_6_1",0.5
MVK Esports,Varus,2,0,0,26.10,"LCP/2026 Season/Split 2 Playoffs_Round 1_1_3, LCP/2026 Season/Split 2 Playoffs_Round 2_3_1",0.0
MVK Esports,Zaahen,2,1,0,26.10,"LCP/2026 Season/Split 2 Playoffs_Round 1_1_5, LCP/2026 Season/Split 2 Playoffs_Round 2_3_1",0.5
MVK Esports,Ziggs,2,2,0,26.10,"LCP/2026 Season/Split 2_Week 7_2_3, LCP/2026 Season/Split 2 Playoffs_Round 1_1_4",1.0
MVK Esports,Zyra,2,0,0,26.10,"LCP/2026 Season/Split 2 Playoffs_Round 1_1_1, LCP/2026 Season/Split 2 Playoffs_Round 2_1_3",0.0
MVK Esports Academy,Ambessa,2,1,0,26.09,"VCS/2026 Season/Summer Season_Week 1_2_2, VCS/2026 Season/Summer Season_Week 2_6_2",0.5
MVK Esports Academy,Jarvan IV,2,0,0,26.09,"VCS/2026 Season/Summer Season_Week 2_1_2, VCS/2026 Season/Summer Season_Week 3_3_1",0.0
MVK Esports Academy,Jax,2,0,0,26.09,"VCS/2026 Season/Summer Season_Week 2_6_3, VCS/2026 Season/Summer Season_Week 3_3_2",0.0
MVK Esports Academy,Jayce,2,0,0,26.09,"VCS/2026 Season/Summer Season_Week 2_1_1, VCS/2026 Season/Summer Season_Week 3_3_2",0.0
MVK Esports Academy,K'Sante,2,1,0,26.09,"VCS/2026 Season/Summer Season_Week 2_6_2, VCS/2026 Season/Summer Season_Week 3_3_1",0.5
MVK Esports Academy,Karma,2,0,0,26.09,"VCS/2026 Season/Summer Season_Week 1_2_1, VCS/2026 Season/Summer Season_Week 2_6_1",0.0
MVK Esports Academy,Naafiri,2,1,0,26.09,"VCS/2026 Season/Summer Season_Week 1_2_1, VCS/2026 Season/Summer Season_Week 1_6_1",0.5
MVK Esports Academy,Nautilus,2,2,0,26.09,"VCS/2026 Season/Summer Season_Week 1_6_1, VCS/2026 Season/Summer Season_Week 2_6_2",1.0
MVK Esports Academy,Renekton,2,1,0,26.09,"VCS/2026 Season/Summer Season_Week 1_2_1, VCS/2026 Season/Summer Season_Week 1_6_2",0.5
MVK Esports Academy,Ryze,2,1,0,26.09,"VCS/2026 Season/Summer Season_Week 1_6_1, VCS/2026 Season/Summer Season_Week 2_6_3",0.5
MVK Esports Academy,Xin Zhao,2,0,0,26.09,"VCS/2026 Season/Summer Season_Week 1_2_2, VCS/2026 Season/Summer Season_Week 2_6_1",0.0
Magaza Esports,Anivia,2,1,0,"26.10, 26.11","Esports Balkan League/2026 Season/Spring Playoffs_Round 4_2_1, EMEA Masters/2026 Season/Spring Play-In_Round 3_7_1",0.5
Magaza Esports,Ezreal,2,1,0,"26.09, 26.11","Esports Balkan League/2026 Season/Spring Playoffs_Round 1_3_2, EMEA Masters/2026 Season/Spring Play-In_Round 1_6_1",0.5
Magaza Esports,Jarvan IV,2,1,0,"26.09, 26.11","Esports Balkan League/2026 Season/Spring Playoffs_Round 1_3_2, EMEA Masters/2026 Season/Spring Play-In_Round 3_7_1",0.5
Magaza Esports,Karma,2,0,0,26.10,"Esports Balkan League/2026 Season/Spring Playoffs_Round 4_2_2, Esports Balkan League/2026 Season/Spring Playoffs_Finals_1_2",0.0
Magaza Esports,LeBlanc,2,1,0,26.10,"Esports Balkan League/2026 Season/Spring Playoffs_Round 4_1_1, Esports Balkan League/2026 Season/Spring Playoffs_Round 4_2_4",0.5
Magaza Esports,Nautilus,2,1,0,"26.09, 26.10","Esports Balkan League/2026 Season/Spring Playoffs_Round 2_2_1, Esports Balkan League/2026 Season/Spring Playoffs_Finals_1_3",0.5
Magaza Esports,Ornn,2,1,0,"26.09, 26.10","Esports Balkan League/2026 Season/Spring Playoffs_Round 1_3_1, Esports Balkan League/2026 Season/Spring Playoffs_Round 4_2_2",0.5
Magaza Esports,Renekton,2,1,0,26.10,"Esports Balkan League/2026 Season/Spring Playoffs_Round 4_2_4, Esports Balkan League/2026 Season/Spring Playoffs_Finals_1_3",0.5
Magaza Esports,Varus,2,1,0,"26.09, 26.10","Esports Balkan League/2026 Season/Spring Playoffs_Round 2_2_1, Esports Balkan League/2026 Season/Spring Playoffs_Finals_1_2",0.5
Magaza Esports,Viktor,2,1,0,"26.09, 26.10","Esports Balkan League/2026 Season/Spring Playoffs_Round 2_2_2, Esports Balkan League/2026 Season/Spring Playoffs_Round 4_1_2",0.5
Malaysia (National Team),Cassiopeia,2,1,0,26.11,"2026 Asian Games/Qualifier_Day 2_5_1, 2026 Asian Games/Qualifier_Day 3_7_1",0.5
Malaysia (National Team),Jarvan IV,2,2,0,26.11,"2026 Asian Games/Qualifier_Day 2_5_1, 2026 Asian Games/Qualifier_Day 3_12_1",1.0
Malaysia (National Team),Nautilus,2,1,0,26.11,"2026 Asian Games/Qualifier_Day 3_7_1, 2026 Asian Games/Qualifier_Day 3_12_1",0.5
Malaysia (National Team),Olaf,2,0,0,26.11,"2026 Asian Games/Qualifier_Day 1_1_1, 2026 Asian Games/Qualifier_Day 3_7_1",0.0
Malvinas Gaming,Akali,2,1,0,"26.09, 26.10","Liga Regional Sur/2026 Season/Split 1 Playoffs_Round 1_4_2, Liga Regional Sur/2026 Season/Split 1 Playoffs_Round 2_1_2",0.5
Malvinas Gaming,Caitlyn,2,1,0,"26.09, 26.10","Liga Regional Sur/2026 Season/Split 1 Playoffs_Round 1_4_2, Liga Regional Sur/2026 Season/Split 1 Playoffs_Round 2_1_2",0.5
Malvinas Gaming,Jayce,2,1,0,"26.09, 26.10","Liga Regional Sur/2026 Season/Split 1 Playoffs_Round 1_4_3, Liga Regional Sur/2026 Season/Split 1 Playoffs_Round 2_1_1",0.5
Malvinas Gaming,Nautilus,2,1,0,"26.09, 26.10","Liga Regional Sur/2026 Season/Split 1 Playoffs_Round 1_4_3, Liga Regional Sur/2026 Season/Split 1 Playoffs_Round 2_1_3",0.5
Malvinas Gaming,Rumble,2,1,0,"26.09, 26.10","Liga Regional Sur/2026 Season/Split 1 Playoffs_Round 1_4_2, Liga Regional Sur/2026 Season/Split 1 Playoffs_Round 2_1_3",0.5
Malvinas Gaming,Xin Zhao,2,1,0,"26.09, 26.10","Liga Regional Sur/2026 Season/Split 1 Playoffs_Round 1_4_1, Liga Regional Sur/2026 Season/Split 1 Playoffs_Round 2_1_1",0.5
Marere Invokers,Aatrox,2,1,0,26.11,"Circuito Desafiante/2026 Season/Split 2 Promotion_Round 1_2_3, Circuito Desafiante/2026 Season/Split 2 Promotion_Round 1_3_3",0.5
Marere Invokers,Ambessa,2,2,0,26.11,"Circuito Desafiante/2026 Season/Split 2 Promotion_Round 1_3_1, Circuito Desafiante/2026 Season/Split 2 Promotion_Round 2_2_1",1.0
Marere Invokers,Aurora,2,1,0,26.11,"Circuito Desafiante/2026 Season/Split 2 Promotion_Round 1_3_2, Circuito Desafiante/2026 Season/Split 2 Promotion_Round 3_1_3",0.5
Marere Invokers,Gnar,2,1,0,26.11,"Circuito Desafiante/2026 Season/Split 2 Promotion_Round 1_2_1, Circuito Desafiante/2026 Season/Split 2 Promotion_Round 3_1_2",0.5
Marere Invokers,Hwei,2,1,0,26.11,"Circuito Desafiante/2026 Season/Split 2 Promotion_Round 2_2_2, Circuito Desafiante/2026 Season/Split 2 Promotion_Round 3_1_4",0.5
Marere Invokers,K'Sante,2,2,0,26.11,"Circuito Desafiante/2026 Season/Split 2 Promotion_Round 1_3_2, Circuito Desafiante/2026 Season/Split 2 Promotion_Round 2_2_3",1.0
Marere Invokers,LeBlanc,2,2,0,26.11,"Circuito Desafiante/2026 Season/Split 2 Promotion_Round 1_2_2, Circuito Desafiante/2026 Season/Split 2 Promotion_Round 2_2_3",1.0
Marere Invokers,Leona,2,2,0,26.11,"Circuito Desafiante/2026 Season/Split 2 Promotion_Round 1_3_2, Circuito Desafiante/2026 Season/Split 2 Promotion_Round 2_2_3",1.0
